AAPL,BND,EEM,GLD,JPM,SPY,TSM,XOM
46.67287826538086,65.85038757324219,37.48823547363281,122.11000061035156,87.73120880126953,259.4082336425781,35.95875549316406,59.52358627319336
46.98530960083008,65.89935302734375,37.77752685546875,121.9800033569336,87.52342224121094,260.6638488769531,36.12127685546875,59.842803955078125
47.724674224853516,65.83404541015625,37.77752685546875,122.51000213623047,87.80599212646484,260.8626403808594,36.25812911987305,60.21277618408203
47.58157730102539,65.93201446533203,37.700950622558594,123.1500015258789,87.1577377319336,259.525634765625,36.10417175292969,59.436546325683594
47.84869384765625,66.02178192138672,37.87962341308594,123.52999877929688,87.54833221435547,260.4110107421875,36.241024017333984,59.16810989379883
47.45039749145508,65.90753173828125,37.471214294433594,121.94999694824219,88.28804016113281,260.3386535644531,36.010074615478516,59.451045989990234
47.43131637573242,65.78508758544922,37.74348831176758,121.83000183105469,92.42691802978516,262.10003662109375,36.42064666748047,58.70383071899414
47.51718521118164,65.80142211914062,37.547794342041016,121.5999984741211,91.37140655517578,261.928466796875,36.44631576538086,58.50794982910156
47.521949768066406,65.68712615966797,37.82856750488281,120.51000213623047,92.33550262451172,262.10003662109375,36.788448333740234,58.90696334838867
48.44735336303711,65.68712615966797,37.93918991088867,120.27999877929688,94.9950180053711,261.4588317871094,37.96881866455078,59.07383346557617
48.6214599609375,65.77693176269531,37.91366195678711,120.37000274658203,94.29691314697266,261.97357177734375,38.83271408081055,58.856163024902344
48.78125762939453,65.71162414550781,37.66691207885742,120.37000274658203,94.41324615478516,262.19952392578125,38.61888122558594,60.140220642089844
49.484832763671875,65.82589721679688,37.751991271972656,120.12000274658203,94.52961730957031,264.5571594238281,38.849822998046875,60.488441467285156
49.40850830078125,65.99732208251953,37.24148941040039,120.47000122070312,94.37171173095703,263.9699401855469,38.84126663208008,59.313201904296875
48.96013259887695,65.9809799194336,37.190433502197266,120.56999969482422,94.42158508300781,263.80731201171875,38.04580307006836,59.64693069458008
48.72639846801758,66.12789154052734,37.3350830078125,121.37000274658203,95.13629913330078,265.0357971191406,37.58391571044922,58.391876220703125
48.80032730102539,65.98919677734375,37.41166305541992,120.83000183105469,96.50765228271484,265.4512939453125,37.489837646484375,58.0146484375
47.860618591308594,66.08711242675781,37.37762451171875,121.19999694824219,96.44947052001953,265.5868225097656,37.48128890991211,58.239532470703125
50.20988082885742,66.09120178222656,37.09684371948242,120.4000015258789,95.70977783203125,263.5904846191406,37.48128890991211,57.07156753540039
49.88314437866211,65.94391632080078,37.18193054199219,119.94000244140625,95.91756439208984,263.02142333984375,37.977386474609375,56.0704231262207
50.50324630737305,66.06665802001953,37.6243782043457,120.6500015258789,96.50765228271484,265.5958251953125,38.24254608154297,56.20100021362305
49.72333908081055,66.14852142333984,36.85009765625,120.80999755859375,95.65160369873047,264.50286865234375,37.429954528808594,55.954345703125
48.38294982910156,66.24665069580078,36.12688446044922,121.20999908447266,94.08912658691406,260.0858154296875,37.429954528808594,55.65692138671875
48.39248275756836,66.19757080078125,36.07583236694336,120.91000366210938,93.59046936035156,259.7244873046875,37.37862777709961,55.74395751953125
47.87255859375,66.2630386352539,35.50576400756836,121.19999694824219,93.51567077636719,258.9385986328125,36.993736267089844,55.693180084228516
47.209354400634766,66.2548828125,35.718475341796875,121.43000030517578,93.50736999511719,260.2393493652344,36.63448715209961,56.177494049072266
44.46556854248047,66.39395141601562,34.52729797363281,122.66999816894531,90.96418762207031,253.69943237304688,35.06064987182617,55.553775787353516
45.169471740722656,66.43486022949219,35.01227569580078,122.45999908447266,91.68724822998047,255.99378967285156,35.89887619018555,55.62714385986328
45.71056365966797,66.53309631347656,35.080345153808594,122.38999938964844,91.33820343017578,257.4932861328125,35.89887619018555,56.038055419921875
45.50945281982422,66.43486022949219,34.91017150878906,121.51000213623047,92.51004028320312,259.8780822753906,35.522525787353516,56.03071975708008
45.2508659362793,66.45124053955078,34.280548095703125,120.6500015258789,92.06124114990234,258.19781494140625,34.42768859863281,55.70051574707031
43.835880279541016,66.36941528320312,34.13589859008789,120.63999938964844,92.5433120727539,256.4906005859375,33.06769561767578,55.69318771362305
44.6762580871582,66.3366928100586,34.56983184814453,120.36000061035156,92.85910034179688,258.8030700683594,33.61510467529297,55.95000457763672
43.761661529541016,66.45938873291016,34.399662017822266,120.23999786376953,92.102783203125,258.0081481933594,33.27296829223633,55.44371032714844
43.01466369628906,66.69672393798828,33.95722579956055,121.16999816894531,90.2909927368164,254.8556671142578,32.563026428222656,54.144935607910156
42.84946823120117,66.69672393798828,33.99125671386719,121.30000305175781,91.18028259277344,255.433837890625,32.67422103881836,54.37239456176758
42.67228698730469,66.83583068847656,34.110382080078125,120.83000183105469,90.19123840332031,253.05810546875,32.20378494262695,53.279083251953125
42.468780517578125,66.8194351196289,34.331600189208984,120.87000274658203,89.94194793701172,251.36001586914062,32.23801040649414,52.948890686035156
42.68904113769531,66.99946594238281,34.5187873840332,121.69000244140625,88.97782897949219,252.04641723632812,32.53737258911133,52.8094596862793
41.91571807861328,67.29403686523438,34.63791275024414,123.33000183105469,88.06363677978516,248.6500244140625,32.802528381347656,51.9289436340332
41.49193572998047,67.48518371582031,34.95271301269531,125.11000061035156,88.47919464111328,248.0177764892578,33.204551696777344,52.74342727661133
43.009883880615234,67.3703384399414,35.02928924560547,125.1500015258789,91.20521545410156,253.4013671875,33.40982437133789,53.99817657470703
43.70420455932617,67.3703384399414,34.74851608276367,125.47000122070312,91.52934265136719,255.5963592529297,32.69988250732422,53.55058670043945
44.34585189819336,67.35391998291016,34.765533447265625,125.87999725341797,91.72880554199219,257.2584533691406,32.8795166015625,54.526493072509766
45.526206970214844,67.53433990478516,35.03779602050781,126.58999633789062,90.72318267822266,259.8327941894531,33.204551696777344,54.72461700439453
46.10800552368164,67.39495086669922,35.40366744995117,125.33000183105469,91.70386505126953,261.0251770019531,33.88882064819336,54.96677017211914
46.641910552978516,67.34571838378906,35.803565979003906,125.18000030517578,91.98645782470703,260.9619140625,34.17963790893555,54.91537857055664
46.493473052978516,67.46056365966797,35.420684814453125,125.83000183105469,90.81459045410156,260.50128173828125,33.75196838378906,54.32105255126953
46.483909606933594,67.57538604736328,35.361122131347656,126.5999984741211,91.03897857666016,261.57623291015625,33.7434196472168,54.798004150390625
46.14631652832031,67.58358001708984,34.9697380065918,126.55999755859375,91.27168273925781,261.287109375,32.36630630493164,54.555850982666016
46.4216423034668,67.58358001708984,35.10777282714844,126.4800033569336,90.77301788330078,261.3864440917969,32.21235275268555,55.098838806152344
47.51342010498047,67.73941802978516,35.95652389526367,127.12000274658203,92.01136016845703,264.1234436035156,33.53813171386719,55.575782775878906
47.37453842163086,67.96907806396484,36.25658416748047,127.88999938964844,91.34648132324219,264.7196960449219,33.70065689086914,55.26759719848633
47.75522994995117,68.0757064819336,36.78813171386719,131.11000061035156,91.57920837402344,267.2488708496094,34.65007781982422,56.21417999267578
47.592430114746094,67.88706970214844,36.66810607910156,131.97999572753906,90.95587158203125,266.8605041503906,34.65863037109375,57.00664520263672
47.54454040527344,68.01004791259766,36.616668701171875,133.94000244140625,90.30762481689453,266.53363037109375,35.30863952636719,56.463653564453125
46.82387924194336,68.03468322753906,36.239437103271484,134.1999969482422,89.55963134765625,263.91949462890625,34.37248611450195,55.96468734741211
47.83664321899414,67.87886047363281,36.582374572753906,132.97000122070312,90.15802001953125,263.65625,34.513790130615234,56.20682907104492
47.822261810302734,68.0757064819336,36.83957290649414,132.83999633789062,90.45722961425781,264.5911560058594,34.96420669555664,55.634490966796875
47.38652038574219,68.13309478759766,36.78813171386719,133.1999969482422,92.91727447509766,265.9527282714844,34.593284606933594,56.22883605957031
48.25563430786133,68.128173828125,37.22537612915039,130.6199951171875,94.4797134399414,268.3672180175781,36.54506301879883,56.177494049072266
48.53814697265625,68.25971984863281,37.13106918334961,133.41000366210938,94.57949829101562,269.0660400390625,36.03282928466797,55.56111145019531
48.940364837646484,68.38300323486328,37.062477111816406,133.6300048828125,94.42882537841797,271.21728515625,35.617740631103516,56.089439392089844
48.89727020263672,68.06238555908203,36.80528259277344,132.13999938964844,94.98960876464844,270.90869140625,35.264469146728516,55.861961364746094
47.88931655883789,68.05419158935547,36.582374572753906,131.2899932861328,94.4706802368164,269.4200439453125,34.72575378417969,56.118770599365234
48.18141174316406,67.96376037597656,36.470924377441406,131.75,94.8724136352539,269.7558898925781,35.034854888916016,56.08208465576172
48.657859802246094,68.02127838134766,36.77956008911133,133.8300018310547,94.59622192382812,271.0447692871094,35.953338623046875,56.874549865722656
48.30351257324219,67.7993392944336,36.710975646972656,132.6999969482422,95.50016021728516,271.68023681640625,36.12113571166992,56.918582916259766
48.674617767333984,67.85687255859375,36.736698150634766,133.52999877929688,96.50455474853516,272.8965148925781,36.4125862121582,56.96259307861328
49.13191223144531,67.95553588867188,36.87387466430664,133.52999877929688,95.33277893066406,272.9872131347656,36.93363952636719,56.55902099609375
48.9619255065918,67.86511993408203,36.82243347167969,132.39999389648438,96.3538818359375,272.1068115234375,36.889488220214844,55.715206146240234
48.686588287353516,68.07059478759766,36.710975646972656,134.5800018310547,95.40811157226562,270.25518798828125,36.765846252441406,55.385009765625
49.23965835571289,68.1939468383789,36.93388366699219,136.47999572753906,95.97725677490234,271.2444763183594,38.14357376098633,54.91537857055664
48.50461959838867,68.11992645263672,36.74527359008789,134.47000122070312,95.03145599365234,269.7378234863281,38.70880126953125,55.02546310424805
49.6131591796875,68.1939468383789,36.75383758544922,134.4499969482422,95.64246368408203,270.40032958984375,39.388824462890625,55.08415603637695
50.00101852416992,68.13638305664062,36.79671096801758,133.69000244140625,97.39176177978516,272.33380126953125,39.22985076904297,55.304298400878906
49.96031951904297,68.20217895507812,36.856719970703125,134.3699951171875,97.78514862060547,273.6136169433594,39.3358268737793,55.296939849853516
49.56526184082031,68.128173828125,36.53093719482422,133.4199981689453,96.84774017333984,272.3065185546875,38.5233268737793,54.98142623901367
49.73764419555664,68.128173828125,36.60810089111328,133.63999938964844,97.27457427978516,274.1309814453125,38.382022857666016,54.893367767333984
50.20212936401367,68.16925811767578,36.53951644897461,134.52999877929688,96.96489715576172,273.6317138671875,38.805938720703125,55.28227615356445
49.98664855957031,68.15283203125,36.25658416748047,134.97999572753906,96.74726867675781,272.9601135253906,38.07292556762695,55.289608001708984
51.006591796875,68.23506164550781,35.8107795715332,133.2100067138672,97.09044647216797,269.9737548828125,37.64900207519531,54.56318664550781
49.902854919433594,68.72368621826172,35.10777282714844,136.41000366210938,94.52926635742188,267.6228942871094,36.977806091308594,53.16901779174805
48.84699630737305,68.78961944580078,34.764827728271484,135.88999938964844,94.5208740234375,265.6077575683594,36.78350830078125,52.64805221557617
46.28995895385742,69.08623504638672,33.47883605957031,137.7899932861328,91.7086181640625,257.6201477050781,35.211490631103516,51.56938552856445
47.1662483215332,69.2593002319336,33.95893859863281,138.91000366210938,92.42839813232422,261.2327880859375,36.439083099365234,52.068359375
